;id;ZL;Artikel;FarbNr;Farbe;GrNr;Groesse;Lagerplatz;Bez;Erfasser;Zählmenge;ItemNo;ArtikelID;StorageID;Total_Value;Counted
0;41612;A-1;0471;034;tinte;003;XS;A-1-01-A-1;HAKRO Sweatshirt Premium;Team33;4+0;0471034003;1f3c1e55-7e42-4c0f-9ee4-30a4491e6a6e;9736ebac-a30b-4c6d-8df1-9c979572a4db;4;1
1;41613;A-1;0471;034;tinte;004;S;A-1-03-A-1;HAKRO Sweatshirt Premium;Team33;0+9;0471034004;6d10061e-55d9-4c27-9667-7f34d3137b4c;c952e5b6-56a0-4f59-8afa-f01571955fac;9;1
2;41614;A-1;0471;034;tinte;005;M;A-1-01-A-2;HAKRO Sweatshirt Premium;Team33;0+3;0471034005;124c9682-e6aa-4784-b7b6-3fdd19847459;1dcfe0e5-160c-4814-9563-ffcc6fee4c58;3;1
3;41615;A-1;0471;034;tinte;006;L;A-1-03-A-2;HAKRO Sweatshirt Premium;Team33;25+25+25+25+13;0471034006;27d7caa8-f5d4-4540-a59f-24a217b12d5c;4506758a-2cbe-45ad-bed9-877ab597d107;113;1
4;41616;A-1;0471;034;tinte;007;XL;A-1-01-A-3;HAKRO Sweatshirt Premium;Team33;0+2+0+0;0471034007;4e5192c4-c34f-4883-8863-ed8464258b3d;27657cd5-31d6-4a32-96ae-fb4645525b05;2;1
5;41617;A-1;0471;034;tinte;008;2XL;A-1-01-A-4;HAKRO Sweatshirt Premium;Team33;20+3;0471034008;61aa0241-3b66-4a54-b911-ed748453ad5c;96b68c9b-c514-46b2-82d3-4d4e74bebeee;23;1
6;41618;A-1;0471;034;tinte;009;3XL;A-1-03-A-4;HAKRO Sweatshirt Premium;Team33;0+0;0471034009;4becf0d4-bda7-4fa5-a0e2-577699edd86b;8d2695eb-5ae0-474f-923e-207bfda84587;0;1
7;41619;A-1;0471;001;weiß;003;XS;A-1-05-A-1;HAKRO Sweatshirt Premium;Team33;85+75+7;0471001003;515900f3-f65f-442f-b038-2828ed027bf5;fe76bcae-4712-47cf-acf3-2060df3e5d1b;167;1
8;41620;A-1;0471;001;weiß;004;S;A-1-07-A-1;HAKRO Sweatshirt Premium;Team33;19+50+50;0471001004;cc2a9ef3-deae-44d3-8738-d5192158378a;5eeb64e0-d621-4dea-a443-087878e8c233;119;1
9;41621;A-1;0471;001;weiß;005;M;A-1-05-A-2;HAKRO Sweatshirt Premium;Team33;4+50+75;0471001005;b8adc6e6-c1c8-4b1b-bfe7-8c37e3fe44b9;e94f8ddc-2a90-4cd4-b868-71854660de82;129;1
10;41622;A-1;0471;001;weiß;006;L;A-1-07-A-2;HAKRO Sweatshirt Premium;Team33;17+10+75;0471001006;7767b21e-182b-499b-bed9-91b44ac20eb7;98b0d7ed-fdc1-497b-839b-2e30a5bc2a78;102;1
11;41623;A-1;0471;001;weiß;007;XL;A-1-05-A-3;HAKRO Sweatshirt Premium;Team33;50+75+15+4+100+100;0471001007;8ea3dd50-cb50-4151-90d4-6d11c765a554;93f4d669-1760-4b98-9d33-08d6ea112567;344;1
